IntervalIndex,CenterName,Priority,AvgQueueTime,ConfInterval
103,Incredible_Hulk_Coaster,PRIORITY,1.7853818613511476,0.11571699628357249
320,Harry_Potter_Journey,NORMAL,29.77908131954946,0.8263648327132767
361,Storm_Force,PRIORITY,2.1538042665690607,0.06255009206490497
689,Incredible_Hulk_Coaster,PRIORITY,2.217061487600831,0.11251236454187753
499,Jurassic_World_VelociCoaster,PRIORITY,1.8509154589217636,0.09715318447443681
266,Jurassic_World_VelociCoaster,NORMAL,34.3779411552581,0.8958169065486967
19,Skull_Island,NORMAL,2.716443282386991,0.16298776567478
139,Skull_Island,PRIORITY,3.1886368677052452,0.12786219368240828
429,Jurassic_World_VelociCoaster,PRIORITY,1.9174028837860635,0.10899169242299514
210,Doctor_Doom_Fearfall,NORMAL,13.346909059243528,1.1663193953373474
166,Doctor_Doom_Fearfall,PRIORITY,1.3475787370776524,0.06480390234543384
526,Flight_Hippogriff,NORMAL,44.428792344164435,3.3386313646523136
678,Flight_Hippogriff,NORMAL,50.54543913985741,4.056197489146679
213,Skull_Island,PRIORITY,3.4668390491301535,0.15346200173670452
41,Skull_Island,NORMAL,3.8796906530009148,0.23930154159688813
379,Storm_Force,NORMAL,10.136910156847511,1.0818328744810275
195,Doctor_Doom_Fearfall,NORMAL,12.379716668842127,1.0836652398482778
458,Harry_Potter_Journey,NORMAL,39.92805968705348,0.9286928513495375
56,Jurassic_World_VelociCoaster,PRIORITY,1.254721704698569,0.045694781798788386
236,Incredible_Hulk_Coaster,NORMAL,25.287186328720797,1.559877333169142
592,Doctor_Doom_Fearfall,PRIORITY,1.372475232758785,0.05323885470271378
25,Harry_Potter_Journey,PRIORITY,2.0462054014447455,0.15110200781157304
376,Jurassic_World_VelociCoaster,PRIORITY,1.916674415875707,0.10866473022356847
458,Doctor_Doom_Fearfall,PRIORITY,1.4194304581424289,0.06397736839146714
662,Harry_Potter_Journey,NORMAL,48.63923502404607,1.2322283121745856
306,Jurassic_World_VelociCoaster,PRIORITY,1.6895698136092434,0.09461526173775434
38,Incredible_Hulk_Coaster,NORMAL,2.438687079818614,0.19300068543287385
386,Doctor_Doom_Fearfall,PRIORITY,1.4164921677732318,0.06723153064601302
543,Storm_Force,NORMAL,9.523485937319382,1.0340536168297634
641,Skull_Island,PRIORITY,3.5096473824864036,0.12316715843572668
145,Jurassic_World_VelociCoaster,NORMAL,16.3530637738733,0.5426292693580678
54,Skull_Island,NORMAL,4.861945290920985,0.3476426828043402
711,Incredible_Hulk_Coaster,NORMAL,46.97355179236762,3.1769396813696886
258,Incredible_Hulk_Coaster,NORMAL,26.68710482271043,1.7605411328412823
251,Flight_Hippogriff,NORMAL,25.589150352946415,1.9194606354097474
121,Incredible_Hulk_Coaster,NORMAL,11.036742761624858,0.8227962906936033
119,Storm_Force,NORMAL,6.000373059020407,0.6103600679401736
7,Doctor_Doom_Fearfall,PRIORITY,0.39431334938168383,0.1774670240294517
289,Harry_Potter_Journey,PRIORITY,2.256541461572026,0.064710186179134
348,Doctor_Doom_Fearfall,NORMAL,13.360354710492294,1.4338954577237346
