SmallSeatsPercentage,PoissonParam,Priority,FunIndex,ConfInterval
0.017,1.0,SMALL,0.045339112916257265,0.002359366470484324
0.017,1.0,NORMAL + SMALL,0.15946636055005786,0.0026880641230211644
0.017,1.0,PRIORITY,1.8456818581001475,0.02792011343259577
0.017,1.0,NORMAL,0.1795705162386575,0.003193901310369352
0.0,1.0,SMALL,0.053764795929468374,0.0031784323480700647
0.0,1.0,NORMAL + SMALL,0.16768684378929277,0.002955492557958059
0.0,1.0,PRIORITY,1.8504530125962124,0.027835054543785282
0.0,1.0,NORMAL,0.18212310696101439,0.0033880765111760427
0.017,1.5,SMALL,0.05749080422408985,0.0026790680872845426
0.017,1.5,NORMAL + SMALL,0.1433073049728429,0.0028735079549426557
0.017,1.5,PRIORITY,1.8098185351959402,0.0301151502327562
0.017,1.5,NORMAL,0.15111378986213886,0.0031167614485201754
0.0,1.5,SMALL,0.06036758989252293,0.0035443628747460158
0.0,1.5,NORMAL + SMALL,0.14740774470069148,0.003067119136657887
0.0,1.5,PRIORITY,1.8315941250594525,0.029143717987963443
0.0,1.5,NORMAL,0.15352984610909945,0.0032449147425232306
0.017,2.0,SMALL,0.10637245301653069,0.004641266281500325
0.017,2.0,NORMAL + SMALL,0.14018993018356307,0.002738333013427043
0.017,2.0,PRIORITY,1.801582120080135,0.026777328138487634
0.017,2.0,NORMAL,0.1417694618432734,0.002887055028670049
0.0,2.0,SMALL,0.08017230761635212,0.005654929749190844
0.0,2.0,NORMAL + SMALL,0.14001754013182352,0.0029173892893346333
0.0,2.0,PRIORITY,1.797159777078408,0.03053120900086571
0.0,2.0,NORMAL,0.14249085324207955,0.0030457003561776127
0.017,2.5,SMALL,0.23323387107193838,0.011315615279981893
0.017,2.5,NORMAL + SMALL,0.13871668497550943,0.002889257683207533
0.017,2.5,PRIORITY,1.7649916590389136,0.030103297167990477
0.017,2.5,NORMAL,0.1364557540920854,0.0029438775703449797
0.0,2.5,SMALL,0.12506180810306336,0.008053497418175418
0.0,2.5,NORMAL + SMALL,0.13914412456313302,0.0031552914312453838
0.0,2.5,PRIORITY,1.765829604283964,0.035598198326421186
0.0,2.5,NORMAL,0.13949129927721798,0.00322780076943535
0.017,3.0,SMALL,0.7184187963896406,0.042954620809213896
0.017,3.0,NORMAL + SMALL,0.14086972593186656,0.0035329886272095355
0.017,3.0,PRIORITY,1.7607956206210151,0.034355337682260144
0.017,3.0,NORMAL,0.1336126314323319,0.003374611612192891
0.0,3.0,SMALL,0.2470033257107976,0.015566165345483609
0.0,3.0,NORMAL + SMALL,0.13649383791265285,0.0031781259146531826
0.0,3.0,PRIORITY,1.7421017314907863,0.035579623133484624
0.0,3.0,NORMAL,0.13512629125536804,0.0031915395356421346
