GroupId,GroupSize,Priority,QueueTime,RidingTime,TotalTime,NumberRides
16,6,PRIORITY,0.0,0.0,2.7076578555373993,0
1,5,NORMAL,0.0,0.0,3.740213112270232,0
61,1,PRIORITY,0.0,0.0,3.7990810341496237,0
26,6,NORMAL,0.0,0.0,4.630517645986595,0
78,1,NORMAL,0.0,0.0,5.08169289931793,0
21,5,PRIORITY,1.2857774143947314,3.656578630980374,7.239362839583752,2
30,5,NORMAL,0.2518563002447536,2.6689265161608002,9.140469776521362,1
98,5,PRIORITY,0.28917235036078104,2.4271340188231,9.666496858406852,1
145,1,NORMAL,0.0,0.0,11.411908730701072,0
126,5,PRIORITY,0.0,0.0,12.197248626551689,0
70,2,PRIORITY,2.080715488413756,7.962248741398681,14.393187023360595,3
116,5,NORMAL,2.2711987621943575,3.2551526877820276,14.393187023360595,1
164,3,NORMAL,0.0,0.0,14.45961110365021,0
165,6,NORMAL,0.0,0.0,14.850099976418278,0
107,3,NORMAL,2.663803427372075,3.1111967817932342,15.003528156308874,1
86,7,NORMAL,2.0425265721810053,3.1111967817932342,15.003528156308874,1
18,4,NORMAL,3.320620114623397,5.738224503462305,15.003528156308874,2
62,2,NORMAL,4.707376527914127,8.361821651627226,16.782969876222293,2
68,6,NORMAL,5.368512620074595,6.129647642201579,18.978418079918793,1
222,4,NORMAL,0.0,0.0,18.983978389605504,0
247,2,NORMAL,0.0,0.0,19.93447275576932,0
270,8,NORMAL,0.0,0.0,20.3232447599569,0
127,3,PRIORITY,5.0959290137112525,5.393619728457937,20.67004124794669,2
146,1,PRIORITY,1.9685275165937561,6.99826815351763,20.67004124794669,2
120,5,NORMAL,3.5870106873295597,5.510321825514698,20.712980561279856,2
237,5,NORMAL,0.0,0.0,20.894756348406045,0
22,1,NORMAL,1.3659582092369171,1.8323453084250656,20.917515643929647,1
287,9,NORMAL,0.0,0.0,21.8302786770705,0
275,9,NORMAL,0.0,0.0,21.838306165657794,0
304,1,NORMAL,0.0,0.0,23.3721711952198,0
217,5,PRIORITY,3.5815564726031077,3.8221845083507624,24.49222575629745,1
