Center name,Avg Service Time,Groups Served,Normal Group Served,Priority Group Served,Avg Queue Time - Group,Avg Queue Time Normal - Group,Avg Queue Time Prio - Group,People Served,Normal People Served,Priority People Served,Avg Queue Time - Person,Avg Queue Time Normal - Person,Avg Queue Time Prio - Person
Restaurant_1,15.000134138603586,60,58,0,231.0618422755894,231.0618422755894,NaN,295,294,0,233.1349933268626,233.1349933268626,NaN
Skull_Island,5.952811904387927,594,437,168,5.35529426885413,5.8878122141774245,3.970113661078641,2806,2079,773,5.488697402747013,6.0014381560582715,4.109670202056057
Entrance,0.528716104275643,573,575,0,0.0,0.0,NaN,2847,2854,0,0.0,0.0,NaN
Storm_Force,4.021575623974933,736,546,196,3.1531154267948773,3.290864249164613,2.7693865644791718,3522,2616,951,3.1590518884894325,3.288912043086679,2.8018340499758585
Harry_Potter_Journey,4.936520900696607,140,16,124,7.957028199198336,27.413719248247666,5.44648741867584,687,91,598,8.424008044204811,25.26377719585731,5.861434477648998
Jurassic_World_VelociCoaster,3.0095348627444043,1046,801,255,2.1186250871770826,2.166696796523648,1.9676233648767103,4968,3799,1219,2.136021301193183,2.191687737611538,1.9625374685817671
Incredible_Hulk_Coaster,3.055338752486533,571,314,263,7.390067387659385,12.097962101069367,1.7692349161356884,2760,1507,1277,7.306121813997285,11.998711218535977,1.7683518589152079
Restaurant_4,15.574152737485145,56,55,0,230.8001051796479,230.8001051796479,NaN,270,268,0,229.6344586946706,229.6344586946706,NaN
Doctor_Doom_Fearfall,1.9969362815300007,827,542,286,3.039902057555913,3.9681635837535283,1.2807490953212617,4010,2659,1358,3.141009725493598,4.077263171283174,1.3078006589586368
Restaurant_3,14.845729072863323,75,73,0,218.0281913564384,218.0281913564384,NaN,334,332,0,218.35750690788302,218.35750690788302,NaN
Flight_Hippogriff,2.0084849645671543,345,92,255,12.452083319851635,42.35136531432454,1.664891384590814,1649,448,1207,12.308088946594522,40.683637872949596,1.7759879366466635
Restaurant_2,15.122777636694584,63,64,0,207.3518399600719,207.3518399600719,NaN,317,320,0,212.5908344541091,212.5908344541091,NaN
